Record_ID,Timestamp,Farm,Region,Crop,Crop_Stage,Sensor_ID,Temperature_C,Humidity_pct,Soil_Moisture_pct,Rain_Probability_pct,Soil_pH,Water_Tank_pct,Leaf_Health_pct,AI_Risk,AI_Decision,Irrigation_Minutes,Estimated_Water_Liters,Estimated_Energy_kWh,Notification_Required
AGR-0013,2026-08-02 18:00,Sunrise Agriculture,Ismailia,Pepper,Flowering,S-001,29.0,70.5,42.4,47.0,6.41,90.1,92.4,LOW,NO_ACTION,0.0,0.0,0.0,NO
AGR-0014,2026-08-02 21:00,Future Fields,Beheira,Lettuce,Vegetative,S-002,37.8,51.5,27.1,15.3,6.09,84.2,77.8,MEDIUM,MONITOR,12.0,1440.0,1.32,NO
AGR-0015,2026-08-02 00:00,Golden Soil Farm,Minya,Onion,Bulb Formation,S-003,33.0,64.4,23.5,29.0,6.48,74.8,90.2,HIGH,IRRIGATE,30.0,3600.0,3.3,YES
AGR-0016,2026-08-02 03:00,Smart Harvest,Qalyubia,Tomato,Fruiting,S-004,35.0,75.2,37.9,51.1,6.57,65.3,87.9,LOW,NO_ACTION,0.0,0.0,0.0,NO
AGR-0017,2026-08-03 06:00,Green Valley Farm,Giza,Tomato,Flowering,S-005,33.3,82.6,35.4,59.9,6.59,63.3,96.6,LOW,NO_ACTION,0.0,0.0,0.0,NO
AGR-0018,2026-08-03 09:00,Nile Harvest Farm,Fayoum,Cucumber,Vegetative,S-006,36.8,63.9,27.0,55.8,6.11,65.3,89.6,MEDIUM,MONITOR,13.0,1560.0,1.43,NO
AGR-0019,2026-08-03 12:00,Desert Bloom Farm,New Valley,Strawberry,Fruiting,S-007,28.0,72.0,37.1,36.1,6.06,58.3,87.8,LOW,NO_ACTION,0.0,0.0,0.0,NO
AGR-0020,2026-08-03 15:00,Delta Fresh Farm,Dakahlia,Potato,Tuber Formation,S-008,35.4,54.8,36.4,13.0,6.49,56.3,81.5,LOW,NO_ACTION,0.0,0.0,0.0,NO
AGR-0021,2026-08-03 18:00,Sunrise Agriculture,Ismailia,Pepper,Flowering,S-009,34.1,72.9,29.7,47.5,6.69,51.1,86.7,MEDIUM,MONITOR,10.0,1200.0,1.1,NO
AGR-0022,2026-08-03 21:00,Future Fields,Beheira,Lettuce,Vegetative,S-010,26.4,82.9,43.4,59.4,6.72,40.3,92.9,LOW,NO_ACTION,0.0,0.0,0.0,NO
AGR-0023,2026-08-03 00:00,Golden Soil Farm,Minya,Onion,Bulb Formation,S-011,34.5,58.0,42.7,35.4,6.18,40.6,86.1,LOW,NO_ACTION,0.0,0.0,0.0,NO
AGR-0024,2026-08-03 03:00,Smart Harvest,Qalyubia,Tomato,Fruiting,S-012,36.9,66.3,25.4,51.9,6.74,36.3,88.0,MEDIUM,MONITOR,14.0,1680.0,1.54,NO
AGR-0025,2026-08-04 06:00,Green Valley Farm,Giza,Tomato,Flowering,S-001,31.8,63.1,27.1,21.7,6.57,89.4,93.1,MEDIUM,MONITOR,12.0,1440.0,1.32,NO
AGR-0026,2026-08-04 09:00,Nile Harvest Farm,Fayoum,Cucumber,Vegetative,S-002,37.1,57.9,42.6,24.2,7.55,85.5,76.2,LOW,NO_ACTION,0.0,0.0,0.0,NO
AGR-0027,2026-08-04 12:00,Desert Bloom Farm,New Valley,Strawberry,Fruiting,S-003,27.6,80.2,39.8,63.4,6.77,77.7,88.6,LOW,NO_ACTION,0.0,0.0,0.0,NO
AGR-0028,2026-08-04 15:00,Delta Fresh Farm,Dakahlia,Potato,Tuber Formation,S-004,25.4,78.1,45.0,53.6,6.16,73.7,93.5,LOW,NO_ACTION,0.0,0.0,0.0,NO
AGR-0029,2026-08-04 18:00,Sunrise Agriculture,Ismailia,Pepper,Flowering,S-005,28.6,75.9,36.4,30.8,6.73,70.2,96.3,LOW,NO_ACTION,0.0,0.0,0.0,NO
AGR-0030,2026-08-04 21:00,Future Fields,Beheira,Lettuce,Vegetative,S-006,38.3,45.8,21.7,22.6,6.78,65.1,87.6,HIGH,IRRIGATE,33.0,3960.0,3.63,YES
AGR-0031,2026-08-04 00:00,Golden Soil Farm,Minya,Onion,Bulb Formation,S-007,35.9,68.1,41.1,49.2,6.49,61.0,81.3,LOW,NO_ACTION,0.0,0.0,0.0,NO
AGR-0032,2026-08-04 03:00,Smart Harvest,Qalyubia,Tomato,Fruiting,S-008,31.8,65.0,38.0,70.7,5.95,55.7,85.5,LOW,NO_ACTION,0.0,0.0,0.0,NO
AGR-0033,2026-08-05 06:00,Green Valley Farm,Giza,Tomato,Flowering,S-009,30.6,78.4,36.8,34.6,6.35,50.7,89.1,LOW,NO_ACTION,0.0,0.0,0.0,NO
AGR-0034,2026-08-05 09:00,Nile Harvest Farm,Fayoum,Cucumber,Vegetative,S-010,34.1,64.1,28.5,67.2,6.82,34.9,92.3,MEDIUM,MONITOR,11.0,1320.0,1.21,NO
AGR-0035,2026-08-05 12:00,Desert Bloom Farm,New Valley,Strawberry,Fruiting,S-011,29.7,78.6,29.3,49.2,6.78,41.5,87.2,MEDIUM,MONITOR,10.0,1200.0,1.1,NO
AGR-0036,2026-08-05 15:00,Delta Fresh Farm,Dakahlia,Potato,Tuber Formation,S-012,31.3,66.1,36.7,63.7,6.74,28.0,95.7,LOW,NO_ACTION,0.0,0.0,0.0,NO
AGR-0037,2026-08-05 18:00,Sunrise Agriculture,Ismailia,Pepper,Flowering,S-001,43.6,52.0,20.5,14.4,7.04,85.2,51.8,HIGH,IRRIGATE,35.0,4200.0,3.85,YES
AGR-0038,2026-08-05 21:00,Future Fields,Beheira,Lettuce,Vegetative,S-002,36.9,51.7,31.2,0.0,6.24,82.0,75.4,MEDIUM,MONITOR,10.0,1200.0,1.1,NO
AGR-0039,2026-08-05 00:00,Golden Soil Farm,Minya,Onion,Bulb Formation,S-003,41.2,39.6,23.8,10.0,7.1,72.3,66.9,HIGH,IRRIGATE,30.0,3600.0,3.3,YES
AGR-0040,2026-08-05 03:00,Smart Harvest,Qalyubia,Tomato,Fruiting,S-004,33.1,58.9,32.8,32.3,6.39,73.3,90.5,LOW,NO_ACTION,0.0,0.0,0.0,NO
AGR-0041,2026-08-06 06:00,Green Valley Farm,Giza,Tomato,Flowering,S-005,33.6,69.4,46.1,22.3,7.35,60.2,91.4,LOW,NO_ACTION,0.0,0.0,0.0,NO
AGR-0042,2026-08-06 09:00,Nile Harvest Farm,Fayoum,Cucumber,Vegetative,S-006,35.9,62.2,31.2,29.8,6.43,60.6,87.8,MEDIUM,MONITOR,10.0,1200.0,1.1,NO
AGR-0043,2026-08-06 12:00,Desert Bloom Farm,New Valley,Strawberry,Fruiting,S-007,34.8,57.5,37.7,32.4,6.88,60.5,85.5,LOW,NO_ACTION,0.0,0.0,0.0,NO
AGR-0044,2026-08-06 15:00,Delta Fresh Farm,Dakahlia,Potato,Tuber Formation,S-008,30.2,76.8,37.9,48.7,6.64,58.1,89.6,LOW,NO_ACTION,0.0,0.0,0.0,NO
AGR-0045,2026-08-06 18:00,Sunrise Agriculture,Ismailia,Pepper,Flowering,S-009,35.7,59.2,27.4,46.1,6.89,51.3,90.4,MEDIUM,MONITOR,12.0,1440.0,1.32,NO
AGR-0046,2026-08-06 21:00,Future Fields,Beheira,Lettuce,Vegetative,S-010,33.1,70.6,37.0,47.0,6.55,43.4,94.4,LOW,NO_ACTION,0.0,0.0,0.0,NO
AGR-0047,2026-08-06 00:00,Golden Soil Farm,Minya,Onion,Bulb Formation,S-011,28.9,88.8,34.8,44.0,7.01,41.2,94.5,LOW,NO_ACTION,0.0,0.0,0.0,NO
AGR-0048,2026-08-06 03:00,Smart Harvest,Qalyubia,Tomato,Fruiting,S-012,36.1,59.7,27.6,31.3,6.36,36.9,83.0,MEDIUM,MONITOR,12.0,1440.0,1.32,NO
AGR-0049,2026-08-07 06:00,Green Valley Farm,Giza,Tomato,Flowering,S-001,28.9,72.0,37.9,35.2,6.31,89.0,93.0,LOW,NO_ACTION,0.0,0.0,0.0,NO
AGR-0050,2026-08-07 09:00,Nile Harvest Farm,Fayoum,Cucumber,Vegetative,S-002,30.5,67.7,33.8,17.2,6.11,80.1,91.1,LOW,NO_ACTION,0.0,0.0,0.0,NO
AGR-0051,2026-08-07 12:00,Desert Bloom Farm,New Valley,Strawberry,Fruiting,S-003,34.6,73.1,41.6,42.5,6.59,74.0,89.5,LOW,NO_ACTION,0.0,0.0,0.0,NO
AGR-0052,2026-08-07 15:00,Delta Fresh Farm,Dakahlia,Potato,Tuber Formation,S-004,31.6,71.1,33.6,50.5,7.14,72.6,93.6,LOW,NO_ACTION,0.0,0.0,0.0,NO
AGR-0053,2026-08-07 18:00,Sunrise Agriculture,Ismailia,Pepper,Flowering,S-005,36.5,56.2,32.9,26.5,6.63,64.9,82.1,LOW,NO_ACTION,0.0,0.0,0.0,NO
AGR-0054,2026-08-07 21:00,Future Fields,Beheira,Lettuce,Vegetative,S-006,35.5,71.2,35.4,75.1,6.33,66.5,86.7,LOW,NO_ACTION,0.0,0.0,0.0,NO
AGR-0055,2026-08-07 00:00,Golden Soil Farm,Minya,Onion,Bulb Formation,S-007,43.9,38.5,17.7,0.0,5.86,55.9,45.0,HIGH,IRRIGATE,39.0,4680.0,4.29,YES
AGR-0056,2026-08-07 03:00,Smart Harvest,Qalyubia,Tomato,Fruiting,S-008,33.8,66.8,47.3,52.2,6.4,49.4,94.0,LOW,NO_ACTION,0.0,0.0,0.0,NO
AGR-0057,2026-08-08 06:00,Green Valley Farm,Giza,Tomato,Flowering,S-009,26.4,90.0,47.8,56.5,6.0,53.4,91.5,LOW,NO_ACTION,0.0,0.0,0.0,NO
AGR-0058,2026-08-08 09:00,Nile Harvest Farm,Fayoum,Cucumber,Vegetative,S-010,39.2,42.4,26.6,11.2,6.62,41.2,73.7,MEDIUM,MONITOR,13.0,1560.0,1.43,NO
AGR-0059,2026-08-08 12:00,Desert Bloom Farm,New Valley,Strawberry,Fruiting,S-011,27.7,75.6,37.4,55.4,6.85,33.5,85.9,LOW,NO_ACTION,0.0,0.0,0.0,NO
AGR-0060,2026-08-08 15:00,Delta Fresh Farm,Dakahlia,Potato,Tuber Formation,S-012,39.4,55.5,21.7,48.8,6.64,37.7,68.0,MEDIUM,MONITOR,18.0,2160.0,1.98,NO
AGR-0061,2026-08-08 18:00,Sunrise Agriculture,Ismailia,Pepper,Flowering,S-001,43.3,57.7,29.1,42.5,6.83,93.5,50.9,MEDIUM,MONITOR,10.0,1200.0,1.1,NO
AGR-0062,2026-08-08 21:00,Future Fields,Beheira,Lettuce,Vegetative,S-002,36.4,66.6,25.1,20.0,5.89,81.9,85.3,MEDIUM,MONITOR,14.0,1680.0,1.54,NO
AGR-0063,2026-08-08 00:00,Golden Soil Farm,Minya,Onion,Bulb Formation,S-003,40.5,51.5,36.7,0.4,6.0,77.8,67.5,MEDIUM,MONITOR,10.0,1200.0,1.1,NO
AGR-0064,2026-08-08 03:00,Smart Harvest,Qalyubia,Tomato,Fruiting,S-004,32.8,51.9,32.3,2.0,6.83,74.5,88.2,LOW,NO_ACTION,0.0,0.0,0.0,NO
AGR-0065,2026-08-09 06:00,Green Valley Farm,Giza,Tomato,Flowering,S-005,30.4,63.8,32.4,49.0,6.25,70.0,89.9,LOW,NO_ACTION,0.0,0.0,0.0,NO
AGR-0066,2026-08-09 09:00,Nile Harvest Farm,Fayoum,Cucumber,Vegetative,S-006,29.0,73.3,36.6,36.8,6.18,70.9,92.1,LOW,NO_ACTION,0.0,0.0,0.0,NO
AGR-0067,2026-08-09 12:00,Desert Bloom Farm,New Valley,Strawberry,Fruiting,S-007,29.5,74.5,38.8,43.1,6.81,61.0,89.9,LOW,NO_ACTION,0.0,0.0,0.0,NO
AGR-0068,2026-08-09 15:00,Delta Fresh Farm,Dakahlia,Potato,Tuber Formation,S-008,30.1,69.9,25.4,18.7,7.08,59.6,91.0,MEDIUM,MONITOR,14.0,1680.0,1.54,NO
AGR-0069,2026-08-09 18:00,Sunrise Agriculture,Ismailia,Pepper,Flowering,S-009,35.9,62.4,45.7,49.9,6.56,44.2,78.0,LOW,NO_ACTION,0.0,0.0,0.0,NO
AGR-0070,2026-08-09 21:00,Future Fields,Beheira,Lettuce,Vegetative,S-010,34.0,58.7,22.7,19.4,6.22,49.7,93.7,HIGH,IRRIGATE,31.0,3720.0,3.41,YES
AGR-0071,2026-08-09 00:00,Golden Soil Farm,Minya,Onion,Bulb Formation,S-011,33.0,76.4,39.0,35.6,7.13,40.2,87.9,LOW,NO_ACTION,0.0,0.0,0.0,NO
AGR-0072,2026-08-09 03:00,Smart Harvest,Qalyubia,Tomato,Fruiting,S-012,32.0,61.9,30.5,46.5,7.27,27.4,94.3,MEDIUM,MONITOR,10.0,1200.0,1.1,NO
AGR-0073,2026-08-10 06:00,Green Valley Farm,Giza,Tomato,Flowering,S-001,29.7,69.2,34.3,27.7,6.62,84.7,93.1,LOW,NO_ACTION,0.0,0.0,0.0,NO
AGR-0074,2026-08-10 09:00,Nile Harvest Farm,Fayoum,Cucumber,Vegetative,S-002,32.7,64.9,28.3,27.2,6.86,85.0,88.1,MEDIUM,MONITOR,11.0,1320.0,1.21,NO
AGR-0075,2026-08-10 12:00,Desert Bloom Farm,New Valley,Strawberry,Fruiting,S-003,33.5,70.3,21.9,50.0,6.37,80.3,86.5,MEDIUM,MONITOR,18.0,2160.0,1.98,NO
AGR-0076,2026-08-10 15:00,Delta Fresh Farm,Dakahlia,Potato,Tuber Formation,S-004,24.0,72.6,46.0,48.3,6.28,75.6,85.4,LOW,NO_ACTION,0.0,0.0,0.0,NO
AGR-0077,2026-08-10 18:00,Sunrise Agriculture,Ismailia,Pepper,Flowering,S-005,32.7,58.1,33.6,29.1,6.3,66.5,96.0,LOW,NO_ACTION,0.0,0.0,0.0,NO
AGR-0078,2026-08-10 21:00,Future Fields,Beheira,Lettuce,Vegetative,S-006,30.1,77.6,31.3,57.8,7.1,53.1,88.8,MEDIUM,MONITOR,10.0,1200.0,1.1,NO
AGR-0079,2026-08-10 00:00,Golden Soil Farm,Minya,Onion,Bulb Formation,S-007,35.9,58.8,32.1,20.1,6.63,57.4,89.1,LOW,NO_ACTION,0.0,0.0,0.0,NO
AGR-0080,2026-08-10 03:00,Smart Harvest,Qalyubia,Tomato,Fruiting,S-008,34.3,65.8,27.5,29.6,6.45,54.6,89.1,MEDIUM,MONITOR,12.0,1440.0,1.32,NO
AGR-0081,2026-08-11 06:00,Green Valley Farm,Giza,Tomato,Flowering,S-009,34.4,77.7,41.8,45.1,7.02,46.4,82.2,LOW,NO_ACTION,0.0,0.0,0.0,NO
AGR-0082,2026-08-11 09:00,Nile Harvest Farm,Fayoum,Cucumber,Vegetative,S-010,28.0,62.9,38.8,34.0,7.19,44.3,91.1,LOW,NO_ACTION,0.0,0.0,0.0,NO
AGR-0083,2026-08-11 12:00,Desert Bloom Farm,New Valley,Strawberry,Fruiting,S-011,37.1,42.3,32.5,22.6,6.08,42.6,81.0,LOW,NO_ACTION,0.0,0.0,0.0,NO
AGR-0084,2026-08-11 15:00,Delta Fresh Farm,Dakahlia,Potato,Tuber Formation,S-012,30.9,74.6,45.6,49.3,6.69,31.2,88.6,LOW,NO_ACTION,0.0,0.0,0.0,NO
AGR-0085,2026-08-11 18:00,Sunrise Agriculture,Ismailia,Pepper,Flowering,S-001,37.2,51.6,27.6,14.1,6.77,89.3,83.4,MEDIUM,MONITOR,12.0,1440.0,1.32,NO
AGR-0086,2026-08-11 21:00,Future Fields,Beheira,Lettuce,Vegetative,S-002,30.4,69.3,35.8,34.1,6.73,86.0,88.3,LOW,NO_ACTION,0.0,0.0,0.0,NO
AGR-0087,2026-08-11 00:00,Golden Soil Farm,Minya,Onion,Bulb Formation,S-003,37.3,66.9,35.2,66.2,6.33,73.0,71.7,LOW,NO_ACTION,0.0,0.0,0.0,NO
AGR-0088,2026-08-11 03:00,Smart Harvest,Qalyubia,Tomato,Fruiting,S-004,40.5,55.6,28.3,29.9,6.21,82.8,66.5,MEDIUM,MONITOR,11.0,1320.0,1.21,NO
AGR-0089,2026-08-12 06:00,Green Valley Farm,Giza,Tomato,Flowering,S-005,33.5,70.1,34.6,45.0,6.32,69.9,99.0,LOW,NO_ACTION,0.0,0.0,0.0,NO
AGR-0090,2026-08-12 09:00,Nile Harvest Farm,Fayoum,Cucumber,Vegetative,S-006,39.7,63.8,22.7,19.8,6.56,63.2,71.7,HIGH,IRRIGATE,31.0,3720.0,3.41,YES
AGR-0091,2026-08-12 12:00,Desert Bloom Farm,New Valley,Strawberry,Fruiting,S-007,24.5,90.0,44.6,57.1,6.25,51.4,95.3,LOW,NO_ACTION,0.0,0.0,0.0,NO
AGR-0092,2026-08-12 15:00,Delta Fresh Farm,Dakahlia,Potato,Tuber Formation,S-008,33.4,56.2,29.8,21.3,7.18,52.0,86.0,MEDIUM,MONITOR,10.0,1200.0,1.1,NO
AGR-0093,2026-08-12 18:00,Sunrise Agriculture,Ismailia,Pepper,Flowering,S-009,31.8,66.5,22.1,36.8,6.52,50.8,97.1,MEDIUM,MONITOR,17.0,2040.0,1.87,NO
AGR-0094,2026-08-12 21:00,Future Fields,Beheira,Lettuce,Vegetative,S-010,38.6,52.9,22.6,61.3,6.62,43.1,71.6,MEDIUM,MONITOR,17.0,2040.0,1.87,NO
AGR-0095,2026-08-12 00:00,Golden Soil Farm,Minya,Onion,Bulb Formation,S-011,34.0,63.0,26.9,25.6,6.59,35.8,89.1,MEDIUM,MONITOR,13.0,1560.0,1.43,NO
AGR-0096,2026-08-12 03:00,Smart Harvest,Qalyubia,Tomato,Fruiting,S-012,33.5,63.2,45.7,0.0,6.98,38.0,83.7,LOW,NO_ACTION,0.0,0.0,0.0,NO
AGR-0097,2026-08-13 06:00,Green Valley Farm,Giza,Tomato,Flowering,S-001,31.3,66.8,30.9,26.3,6.21,95.0,95.7,MEDIUM,MONITOR,10.0,1200.0,1.1,NO
AGR-0098,2026-08-13 09:00,Nile Harvest Farm,Fayoum,Cucumber,Vegetative,S-002,39.4,58.3,23.8,20.8,6.77,78.1,72.3,HIGH,IRRIGATE,30.0,3600.0,3.3,YES
AGR-0099,2026-08-13 12:00,Desert Bloom Farm,New Valley,Strawberry,Fruiting,S-003,31.8,65.8,37.1,43.5,6.47,82.6,87.7,LOW,NO_ACTION,0.0,0.0,0.0,NO
AGR-0100,2026-08-13 15:00,Delta Fresh Farm,Dakahlia,Potato,Tuber Formation,S-004,36.1,64.0,26.6,39.8,6.16,76.7,82.9,MEDIUM,MONITOR,13.0,1560.0,1.43,NO
AGR-0101,2026-08-13 18:00,Sunrise Agriculture,Ismailia,Pepper,Flowering,S-005,30.4,78.5,37.2,29.7,6.06,70.4,86.9,LOW,NO_ACTION,0.0,0.0,0.0,NO
AGR-0102,2026-08-13 21:00,Future Fields,Beheira,Lettuce,Vegetative,S-006,41.8,33.8,38.0,4.8,6.57,60.8,62.4,MEDIUM,MONITOR,10.0,1200.0,1.1,NO
AGR-0103,2026-08-13 00:00,Golden Soil Farm,Minya,Onion,Bulb Formation,S-007,32.8,74.1,35.3,48.3,6.47,57.8,93.2,LOW,NO_ACTION,0.0,0.0,0.0,NO
AGR-0104,2026-08-13 03:00,Smart Harvest,Qalyubia,Tomato,Fruiting,S-008,24.4,73.8,43.2,48.2,6.54,53.1,93.4,LOW,NO_ACTION,0.0,0.0,0.0,NO
AGR-0105,2026-08-14 06:00,Green Valley Farm,Giza,Tomato,Flowering,S-009,30.3,66.0,33.7,22.4,6.74,41.2,96.1,LOW,NO_ACTION,0.0,0.0,0.0,NO
AGR-0106,2026-08-14 09:00,Nile Harvest Farm,Fayoum,Cucumber,Vegetative,S-010,35.4,63.0,41.6,58.8,6.96,35.6,81.3,LOW,NO_ACTION,0.0,0.0,0.0,NO
AGR-0107,2026-08-14 12:00,Desert Bloom Farm,New Valley,Strawberry,Fruiting,S-011,29.9,72.4,41.7,33.3,6.67,35.0,89.6,LOW,NO_ACTION,0.0,0.0,0.0,NO
AGR-0108,2026-08-14 15:00,Delta Fresh Farm,Dakahlia,Potato,Tuber Formation,S-012,26.0,73.5,33.4,30.7,6.97,29.2,99.0,LOW,NO_ACTION,0.0,0.0,0.0,NO
AGR-0109,2026-08-14 18:00,Sunrise Agriculture,Ismailia,Pepper,Flowering,S-001,35.5,62.3,26.3,43.5,6.4,88.5,96.2,MEDIUM,MONITOR,13.0,1560.0,1.43,NO
AGR-0110,2026-08-14 21:00,Future Fields,Beheira,Lettuce,Vegetative,S-002,32.5,75.0,27.5,46.5,7.22,80.5,99.0,MEDIUM,MONITOR,12.0,1440.0,1.32,NO
AGR-0111,2026-08-14 00:00,Golden Soil Farm,Minya,Onion,Bulb Formation,S-003,36.5,55.1,39.0,39.7,6.82,71.7,79.1,LOW,NO_ACTION,0.0,0.0,0.0,NO
AGR-0112,2026-08-14 03:00,Smart Harvest,Qalyubia,Tomato,Fruiting,S-004,31.8,67.9,40.7,41.9,6.13,74.5,94.4,LOW,NO_ACTION,0.0,0.0,0.0,NO
AGR-0113,2026-08-15 06:00,Green Valley Farm,Giza,Tomato,Flowering,S-005,35.8,68.0,36.5,46.2,6.58,61.4,86.5,LOW,NO_ACTION,0.0,0.0,0.0,NO
AGR-0114,2026-08-15 09:00,Nile Harvest Farm,Fayoum,Cucumber,Vegetative,S-006,34.0,65.9,25.4,20.8,6.97,62.8,94.7,MEDIUM,MONITOR,14.0,1680.0,1.54,NO
AGR-0115,2026-08-15 12:00,Desert Bloom Farm,New Valley,Strawberry,Fruiting,S-007,33.1,66.0,35.2,29.4,6.63,56.2,90.3,LOW,NO_ACTION,0.0,0.0,0.0,NO
AGR-0116,2026-08-15 15:00,Delta Fresh Farm,Dakahlia,Potato,Tuber Formation,S-008,31.5,70.6,37.4,61.0,6.29,52.3,90.2,LOW,NO_ACTION,0.0,0.0,0.0,NO
AGR-0117,2026-08-15 18:00,Sunrise Agriculture,Ismailia,Pepper,Flowering,S-009,40.2,53.0,36.0,0.5,6.69,51.6,67.5,MEDIUM,MONITOR,10.0,1200.0,1.1,NO
AGR-0118,2026-08-15 21:00,Future Fields,Beheira,Lettuce,Vegetative,S-010,38.3,51.8,37.4,56.0,6.47,41.2,80.6,MEDIUM,MONITOR,10.0,1200.0,1.1,NO
AGR-0119,2026-08-15 00:00,Golden Soil Farm,Minya,Onion,Bulb Formation,S-011,40.9,46.5,24.2,11.4,6.13,34.3,59.7,MEDIUM,MONITOR,15.0,1800.0,1.65,NO
AGR-0120,2026-08-15 03:00,Smart Harvest,Qalyubia,Tomato,Fruiting,S-012,29.2,73.4,34.8,68.5,6.25,36.9,91.1,LOW,NO_ACTION,0.0,0.0,0.0,NO
